 All-Day Typical Business Day Ridership for Surface Routes ,,,,
 ,Listed in Descending Order of Ridership (Boardings),,,
,                     As of:,"as of December 31, 2016",,
,,,All-Day,
Rank,Route #,Route Name,Ridership,
1,504,King,"64,579",
2,32,Eglinton West,"48,684",
3,36,Finch West,"43,952",
4,52,Lawrence West,"43,882",
5,510,Spadina,"43,804",
6,501,Queen,"43,464",
7,29,Dufferin,"39,721",
8,506,Carlton,"39,601",
9,512,St. Clair,"38,113",
10,54,Lawrence East,"36,277",
11,35,Jane,"32,479",
12,505,Dundas,"32,410",
13,60,Steeles West,"29,819",
14,34,Eglinton East,"29,501",
15,53,Steeles East,"28,278",
16,95,York Mills,"27,485",
17,85,Sheppard East,"27,146",
18,24,Victoria Park,"26,869",
19,7,Bathurst,"26,251",
20,165,Weston Rd. North,"26,071",
21,25,Don Mills,"39,066",
22,96,Wilson,"25,120",
23,102,Markham Rd.,"25,097",
24,41,Keele,"24,597",
25,39,Finch East,"23,745",
26,63,Ossington,"22,694",
27,196,York University Rocket,"21,892",
28,511,Bathurst,"21,433",
29,199,Finch Rocket,"19,968",
30,116,Morningside,"19,506",
31,84,Sheppard West,"19,143",
32,45,Kipling,"18,682",
33,37,Islington,"17,087",
34,89,Weston,"17,011",
35,68,Warden,"15,828",
36,100,Flemingdon Park,"15,807",
37,43,Kennedy,"15,494",
38,47,Lansdowne,"15,354",
39,129,McCowan North,"14,787",
40,86,Scarborough,"13,717",
41,195,Jane Rocket,"13,033",
42,191,Hwy. 27 Rocket,"12,838",
43,11,Bayview,"11,987",
44,87,Cosburn,"11,794",
45,57,Midland,"11,614",
46,16,McCowan,"11,279",
47,190,Scarborough Rocket,"10,489",
48,17,Birchmount,"10,472",
49,38,Highland Creek,"10,262",
50,76,Royal York South,"10,063",
51,44,Kipling South,"10,046",
52,75,Sherbourne,"10,005",
53,133,Neilson,"9,950",
54,509,Harbourfront,"9,903",
55,134,Progress,"9,735",
56,12,Kingston Rd.,"9,715",
57,73,Royal York,"9,598",
58,110,Islington South,"9,168",
59,21,Brimley,"8,790", 
60,79,Scarlett Rd.,"8,651",
61,42,Cummer,"8,610",
62,168,Symington,"8,566",
63,94,Wellesley,"8,525",
64,6,Bay,"7,944",
65,70,O'Connor,"7,745",
66,106,York University,"7,687",
67,112,West Mall,"7,297",
68,46,Martin Grove,"6,927",
69,108,Downsview,"6,841",
70,198,U of T Scarborough Rocket,"6,681",
71,72,Pape,"6,647",
72,161,Rogers Rd.,"6,606",
73,64,Main,"4,984",
74,123,Shorncliffe,"6,448",
75,23,Dawes,"6,445",
76,90,Vaughan,"6,417",
77,111,East Mall,"6,376",
78,22,Coxwell,"6,272",
79,131,Nugget,"6,202",
80,20,Cliffside,"6,145",
81,81,Thorncliffe Park,"6,001",
82,91,Woodbine,"5,589",
83,69,Warden South,"5,494",
84,67,Pharmacy,"5,318",
85,9,Bellamy,"5,305",
86,113,Danforth Rd.,"5,272",
